Non Functional Log
De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:53:36	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:54:43	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:57:45	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 12:02:00	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:03:33	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:04:21	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:07:39	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:08:45	Remote IP Address: ::1	De error is: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'mvcframework.countries' doesn't exist	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:12:36	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:15:08	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:16:57	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:18:17	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:18:33	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 21-Jun-2022 13:55:21	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'naam' cannot be null	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 44	
Datum/tijd: 21-Jun-2022 14:01:41	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'man' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 42	
Datum/tijd: 21-Jun-2022 14:04:41	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'goofy' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 42	
Datum/tijd: 21-Jun-2022 14:13:05	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 42	
Datum/tijd: 21-Jun-2022 14:14:51	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 42	
Datum/tijd: 21-Jun-2022 14:15:38	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 42	
Datum/tijd: 21-Jun-2022 14:17:08	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:21:02	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'op' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:24:55	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'ss' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:25:54	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'goofy' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
